Flow ID	 Source IP	 Source Port	 Destination IP	 Destination Port	 Protocol	 Timestamp	 Flow Duration	 Total Fwd Packets	 Total Backward Packets	Total Length of Fwd Packets	 Total Length of Bwd Packets	 Fwd Packet Length Max	 Fwd Packet Length Min	 Fwd Packet Length Mean	 Fwd Packet Length Std	Bwd Packet Length Max	 Bwd Packet Length Min	 Bwd Packet Length Mean	 Bwd Packet Length Std	Flow Bytes/s	 Flow Packets/s	 Flow IAT Mean	 Flow IAT Std	 Flow IAT Max	 Flow IAT Min	Fwd IAT Total	 Fwd IAT Mean	 Fwd IAT Std	 Fwd IAT Max	 Fwd IAT Min	Bwd IAT Total	 Bwd IAT Mean	 Bwd IAT Std	 Bwd IAT Max	 Bwd IAT Min	Fwd PSH Flags	 Bwd PSH Flags	 Fwd URG Flags	 Bwd URG Flags	 Fwd Header Length	 Bwd Header Length	Fwd Packets/s	 Bwd Packets/s	 Min Packet Length	 Max Packet Length	 Packet Length Mean	 Packet Length Std	 Packet Length Variance	FIN Flag Count	 SYN Flag Count	 RST Flag Count	 PSH Flag Count	 ACK Flag Count	 URG Flag Count	 CWE Flag Count	 ECE Flag Count	 Down/Up Ratio	 Average Packet Size	 Avg Fwd Segment Size	 Avg Bwd Segment Size	 Fwd Header Length_1	Fwd Avg Bytes/Bulk	 Fwd Avg Packets/Bulk	 Fwd Avg Bulk Rate	 Bwd Avg Bytes/Bulk	 Bwd Avg Packets/Bulk	Bwd Avg Bulk Rate	Subflow Fwd Packets	 Subflow Fwd Bytes	 Subflow Bwd Packets	 Subflow Bwd Bytes	Init_Win_bytes_forward	 Init_Win_bytes_backward	 act_data_pkt_fwd	 min_seg_size_forward	Active Mean	 Active Std	 Active Max	 Active Min	Idle Mean	 Idle Std	 Idle Max	 Idle Min	 Label
192.168.10.5-8.254.250.126-49188-80-6	8.254.250.126	80	192.168.10.5	49188	6	03.07.2017 08:55	4	2	0	12.0	0.0	6.0	6.0	6.0	0.0	0	0	0	0	3000000.0	500000.0	4.0	0.0	4.0	4.0	4.0	4.0	0.0	4.0	4.0	0	0	0	0	0	0	0	0	0	40	0	500000.0	0.0	6.0	6.0	6.0	0.0	0.0	0	0	0	0	1	1	0	0	0.0	9.0	6.0	0.0	40	0	0	0	0	0	0	2	12	0	0	329	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.5-8.254.250.126-49188-80-6	8.254.250.126	80	192.168.10.5	49188	6	03.07.2017 08:55	1	2	0	12.0	0.0	6.0	6.0	6.0	0.0	0	0	0	0	1.2E7	2000000.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0	0	0	0	0	0	0	0	0	40	0	2000000.0	0.0	6.0	6.0	6.0	0.0	0.0	0	0	0	0	1	1	0	0	0.0	9.0	6.0	0.0	40	0	0	0	0	0	0	2	12	0	0	329	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.5-8.254.250.126-49188-80-6	8.254.250.126	80	192.168.10.5	49188	6	03.07.2017 08:55	1	2	0	12.0	0.0	6.0	6.0	6.0	0.0	0	0	0	0	1.2E7	2000000.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0	0	0	0	0	0	0	0	0	40	0	2000000.0	0.0	6.0	6.0	6.0	0.0	0.0	0	0	0	0	1	1	0	0	0.0	9.0	6.0	0.0	40	0	0	0	0	0	0	2	12	0	0	329	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.5-8.254.250.126-49188-80-6	8.254.250.126	80	192.168.10.5	49188	6	03.07.2017 08:55	1	2	0	12.0	0.0	6.0	6.0	6.0	0.0	0	0	0	0	1.2E7	2000000.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0	0	0	0	0	0	0	0	0	40	0	2000000.0	0.0	6.0	6.0	6.0	0.0	0.0	0	0	0	0	1	1	0	0	0.0	9.0	6.0	0.0	40	0	0	0	0	0	0	2	12	0	0	329	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.14-8.253.185.121-49486-80-6	8.253.185.121	80	192.168.10.14	49486	6	03.07.2017 08:56	3	2	0	12.0	0.0	6.0	6.0	6.0	0.0	0	0	0	0	4000000.0	666666.6666666666	3.0	0.0	3.0	3.0	3.0	3.0	0.0	3.0	3.0	0	0	0	0	0	0	0	0	0	40	0	666666.6666666666	0.0	6.0	6.0	6.0	0.0	0.0	0	0	0	0	1	1	0	0	0.0	9.0	6.0	0.0	40	0	0	0	0	0	0	2	12	0	0	245	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.14-8.253.185.121-49486-80-6	8.253.185.121	80	192.168.10.14	49486	6	03.07.2017 08:56	1	2	0	12.0	0.0	6.0	6.0	6.0	0.0	0	0	0	0	1.2E7	2000000.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0	0	0	0	0	0	0	0	0	40	0	2000000.0	0.0	6.0	6.0	6.0	0.0	0.0	0	0	0	0	1	1	0	0	0.0	9.0	6.0	0.0	40	0	0	0	0	0	0	2	12	0	0	245	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.14-8.253.185.121-49486-80-6	8.253.185.121	80	192.168.10.14	49486	6	03.07.2017 08:56	1	2	0	12.0	0.0	6.0	6.0	6.0	0.0	0	0	0	0	1.2E7	2000000.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0	0	0	0	0	0	0	0	0	40	0	2000000.0	0.0	6.0	6.0	6.0	0.0	0.0	0	0	0	0	1	1	0	0	0.0	9.0	6.0	0.0	40	0	0	0	0	0	0	2	12	0	0	245	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.14-8.253.185.121-49486-80-6	8.253.185.121	80	192.168.10.14	49486	6	03.07.2017 08:56	1	2	0	12.0	0.0	6.0	6.0	6.0	0.0	0	0	0	0	1.2E7	2000000.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0	0	0	0	0	0	0	0	0	40	0	2000000.0	0.0	6.0	6.0	6.0	0.0	0.0	0	0	0	0	1	1	0	0	0.0	9.0	6.0	0.0	40	0	0	0	0	0	0	2	12	0	0	245	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-88-1031-6	192.168.10.9	1031	192.168.10.3	88	6	03.07.2017 08:56	609	7	4	484.0	414.0	233.0	0.0	69.14285714285715	111.9678950584029	207.0	0.0	103.5	119.51150572225254	1474548.4400656815	18062.3973727422	60.900000000000006	115.19495552227006	381.0	2.0	609.0	101.5	177.08952538193782	460.0	2.0	467.0	155.66666666666669	263.5608721592288	460.0	3.0	0	0	0	0	164	104	11494.252873563219	6568.144499178982	0.0	233.0	74.83333333333334	107.52744540419211	11562.151515151514	0	0	0	1	0	0	0	0	0.0	81.63636363636364	69.14285714285714	103.5	164	0	0	0	0	0	0	7	484	4	414	8192	2053	5	20	0	0	0	0	0	0	0	0	BENIGN
192.168.10.3-192.168.10.9-88-1032-6	192.168.10.9	1032	192.168.10.3	88	6	03.07.2017 08:56	879	9	4	656.0	3064.0	313.0	0.0	72.8888888888889	136.15381416292055	1532.0	0.0	766.0	884.5006123985067	4232081.911262799	14789.533560864618	73.25000000000001	209.0550710393621	734.0	1.0	879.0	109.87499999999999	281.97742437497163	806.0	1.0	764.0	254.66666666666669	434.1685540585975	756.0	3.0	0	0	0	0	204	104	10238.907849829351	4550.625711035267	0.0	1532.0	265.7142857142857	547.8425417484942	300131.4505494506	0	0	0	1	0	0	0	0	0.0	286.15384615384613	72.88888888888889	766.0	204	0	0	0	0	0	0	9	656	4	3064	8192	2053	7	20	0	0	0	0	0	0	0	0	BENIGN
